Block,TrialNumber,Interference,Tone,ToneVolume,ValidityCue,CuePosition,CueCoordX,CueCoordY,TargetPosition,TargetCoordX,TargetCoordY,DistL1CoordX,DistL1CoordY,DistL2CoordX,DistL2CoordY,DistR1CoordX,DistR1CoordY,DistR2CoordX,DistR2CoordY,Congruency,TargetDirection,DistractDirection,DistractImage,TargetImage,CorrectAnswer,ConditionNumber
1,1,Flankers,tone,1,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,left,left,directional_stimuli/scooter.png,directional_stimuli/scooter.png,c,1
1,2,Flankers,tone,1,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,right,right,directional_stimuli/26F7_right.png,directional_stimuli/26F7_right.png,m,1
1,3,Flankers,tone,1,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,left,right,directional_stimuli/scuba_diver_right.png,directional_stimuli/scuba_diver.png,c,2
1,4,Flankers,tone,1,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,right,left,directional_stimuli/1F985.png,directional_stimuli/1F985_right.png,m,2
1,5,Flankers,tone,1,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,left,left,directional_stimuli/racing_motorcycle.png,directional_stimuli/racing_motorcycle.png,c,3
1,6,Flankers,tone,1,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,right,right,directional_stimuli/1F997_right.png,directional_stimuli/1F997_right.png,m,3
1,7,Flankers,tone,1,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,left,right,directional_stimuli/E184_right.png,directional_stimuli/E184.png,c,4
1,8,Flankers,tone,1,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,right,left,directional_stimuli/1F9A2.png,directional_stimuli/1F9A2_right.png,m,4
1,9,Flankers,tone,1,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,left,left,directional_stimuli/1F413.png,directional_stimuli/1F413.png,c,5
1,10,Flankers,tone,1,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,right,right,directional_stimuli/1F41D_right.png,directional_stimuli/1F41D_right.png,m,5
1,11,Flankers,tone,1,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,left,right,directional_stimuli/1F434_right.png,directional_stimuli/1F434.png,c,6
1,12,Flankers,tone,1,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,right,left,directional_stimuli/1F999.png,directional_stimuli/1F999_right.png,m,6
1,13,Flankers,tone,1,valid,down,0,-0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,left,left,directional_stimuli/1F410.png,directional_stimuli/1F410.png,c,7
1,14,Flankers,tone,1,valid,down,0,-0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,right,right,directional_stimuli/1F54A_right.png,directional_stimuli/1F54A_right.png,m,7
1,15,Flankers,tone,1,valid,down,0,-0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,left,right,directional_stimuli/E058_right.png,directional_stimuli/E058.png,c,8
1,16,Flankers,tone,1,valid,down,0,-0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,right,left,directional_stimuli/penguin_chick.png,directional_stimuli/penguin_chick_right.png,m,8
1,17,Flankers,tone,1,invalid,up,0,0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,left,left,directional_stimuli/sheep.png,directional_stimuli/sheep.png,c,9
1,18,Flankers,tone,1,invalid,up,0,0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,right,right,directional_stimuli/1F415_right.png,directional_stimuli/1F415_right.png,m,9
1,19,Flankers,tone,1,invalid,up,0,0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,left,right,directional_stimuli/tiger2_right.png,directional_stimuli/tiger2.png,c,10
1,20,Flankers,tone,1,invalid,up,0,0.1822,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,right,left,directional_stimuli/sled.png,directional_stimuli/sled_right.png,m,10
1,21,Flankers,tone,1,invalid,down,0,-0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,left,left,directional_stimuli/1F6F5.png,directional_stimuli/1F6F5.png,c,11
1,22,Flankers,tone,1,invalid,down,0,-0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,right,right,directional_stimuli/1F681_right.png,directional_stimuli/1F681_right.png,m,11
1,23,Flankers,tone,1,invalid,down,0,-0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,left,right,directional_stimuli/rowboat_right.png,directional_stimuli/rowboat.png,c,12
1,24,Flankers,tone,1,invalid,down,0,-0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,right,left,directional_stimuli/mountain_bicyclist(bk).png,directional_stimuli/mountain_bicyclist(bk)_right.png,m,12
1,25,Flankers,notone,0,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,left,left,directional_stimuli/1F41F.png,directional_stimuli/1F41F.png,c,13
1,26,Flankers,notone,0,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,right,right,directional_stimuli/1F3C7_right.png,directional_stimuli/1F3C7_right.png,m,13
1,27,Flankers,notone,0,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,left,right,directional_stimuli/police_car_right.png,directional_stimuli/police_car.png,c,14
1,28,Flankers,notone,0,nocue,no,0,-2,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,right,left,directional_stimuli/minibus.png,directional_stimuli/minibus_right.png,m,14
1,29,Flankers,notone,0,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,left,left,directional_stimuli/yatagarasu.png,directional_stimuli/yatagarasu.png,c,15
1,30,Flankers,notone,0,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,congruent,right,right,directional_stimuli/1F416_right.png,directional_stimuli/1F416_right.png,m,15
1,31,Flankers,notone,0,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,left,right,directional_stimuli/E005_right.png,directional_stimuli/E005.png,c,16
1,32,Flankers,notone,0,nocue,no,0,-2,down,0,-0.1822,-0.1954,-0.1822,-0.3908,-0.1822,0.1954,-0.1822,0.3908,-0.1822,incongruent,right,left,directional_stimuli/1F9BC.png,directional_stimuli/1F9BC_right.png,m,16
1,33,Flankers,notone,0,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,left,left,directional_stimuli/E010.png,directional_stimuli/E010.png,c,17
1,34,Flankers,notone,0,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,congruent,right,right,directional_stimuli/Leo(sign)_right.png,directional_stimuli/Leo(sign)_right.png,m,17
1,35,Flankers,notone,0,valid,up,0,0.1822,up,0,0.1822,-0.1954,0.1822,-0.3908,0.1822,0.1954,0.1822,0.3908,0.1822,incongruent,left,right,directional_stimuli/1F9AB_right.png,directional_stimuli/1F9AB.png,c,18
